conflict_case,origin_name,origin_iso,host_name,host_iso,host_group,year,post_conflict,conflict_intensity,refugee_stock,asylum_seekers,host_population,refugees_per_1000,log_refugee_stock,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2010,0,0.0,505.0,471.0,8363404.0,0.060382112355208475,6.226536669287466,1.80898243043663,1.81353438995061,4.883,99.6448825546716,2.94294851772084
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2011,1,1203.0,903.0,456.0,8391643.0,0.10760705621056568,6.806829360392176,2.92746800169145,3.2865791487538,4.637,105.775098372378,1.58501011759763
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2012,1,50490.0,1675.0,694.0,8429991.0,0.1986953485478217,7.424165281042028,0.628246239479637,2.48567562177014,4.909,105.840791389706,1.51000017550336
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2013,1,72016.0,2748.0,1561.0,8479823.0,0.324063367832088,7.918992488165245,-0.250726423318454,2.00015616900597,5.367,104.985374015367,1.75299233450364
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2014,1,65345.0,6653.0,0.0,8546356.0,0.7784604338972072,8.802973456578423,0.755798850316665,1.60581182954473,5.674,104.49673998926,2.31393875506259
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2015,1,50181.0,14894.0,18669.0,8642699.0,1.7233042594680203,9.608780865147382,1.30352331826198,0.896563335260319,5.802,103.11758174626,1.58832680063968
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2016,1,43650.0,30958.0,9812.0,8736668.0,3.5434561551383204,10.340419027440413,2.11721964494312,0.891591752655362,6.064,101.573494597172,2.57148776968199
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2017,1,24126.0,43888.0,3937.0,8797566.0,4.988652543214794,10.689418998189405,2.27224992038207,2.08126911385586,5.561,105.556066755438,1.24444591726667
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2018,1,13072.0,49179.0,1538.0,8840521.0,5.562907434980359,10.803242315770184,2.48422114080024,1.99837981429548,4.933,108.377969971828,0.908176708238318
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2019,1,7379.0,51955.0,1304.0,8879920.0,5.850840998567555,10.858152485527174,1.75497619649288,1.53089564152643,4.56,108.207284904426,2.38423045289808
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2020,1,4589.0,54903.0,2820.0,8916864.0,6.15720953016666,10.91334148458847,-6.31825509209936,1.38191063351853,5.201,99.9482141095975,3.3513779974929
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2021,1,1356.0,62408.0,10558.0,8955797.0,6.968447364316096,11.041464774726492,4.92309171717903,2.7666666666667,6.459,111.032932124165,1.71590187553909
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2022,1,911.0,73923.0,17244.0,9041851.0,8.175648990455604,11.210792817405647,5.33096379400371,8.54686993188457,4.992,123.579578652902,-0.826550284589036
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2023,1,1500.0,87167.0,17740.0,9131761.0,9.54547540173248,11.375592570069129,-0.786244288594673,7.81413417002831,5.264,115.152914822732,1.31277352992302
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2024,1,2166.0,105143.0,12762.0,9177982.0,11.45600416300664,11.563086118161845,-0.659089573171372,2.93791574279375,5.2,108.825777834405,1.53088550116276
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2010,0,0.0,10518.0,2690.0,81776930.0,0.12861818119119903,9.260938424739274,4.13463778522758,1.1038103778926,7.043,73.8852351200263,5.77277636027696
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2011,1,1203.0,10155.0,4713.0,80274983.0,0.12650267394014894,9.225819942824568,3.75796884489337,2.07517283735874,5.967,78.433002901442,6.26091712383114
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2012,1,50490.0,18165.0,5986.0,80425823.0,0.22586029365220173,9.80730699406216,0.463512036709204,2.00848884782956,5.372,79.3316495670315,7.19554460437767
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2013,1,72016.0,21253.0,10566.0,80645605.0,0.26353575002630336,9.96430039193264,0.396995583779145,1.50472330251876,5.316,77.5860288576931,6.72910853583547
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2014,1,65345.0,40994.0,29591.0,80982500.0,0.5062081313864106,10.621205387030278,2.18018602168017,0.906794000434245,4.979,76.8483516336234,7.19417703303447
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2015,1,50181.0,115604.0,81582.0,81686611.0,1.4152135654152673,11.657934486880203,1.66300602334775,0.514426137125456,4.612,77.7565815686922,8.09671429040111
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2016,1,43650.0,375122.0,100527.0,82348669.0,4.555289169276069,12.835009251172307,2.22222216259371,0.491747008445174,4.104,76.0059902166055,8.9023603683727
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2017,1,24126.0,496674.0,70833.0,82657002.0,6.008855728883078,13.115691167636264,2.797906720551,1.50949485109628,3.781,77.4548394742448,8.07873526112888
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2018,1,13072.0,532065.0,52396.0,82905782.0,6.417706789135648,13.184522820779334,1.13569604599849,1.73216879766941,3.384,79.1252260463654,8.43761219902204
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2019,1,7379.0,572818.0,41280.0,83092962.0,6.893700575988614,13.25832506446951,0.977734697038784,1.44565976888253,3.163,79.0732427175683,7.87471222403171
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2020,1,4589.0,605338.0,37219.0,83160871.0,7.279120489250287,13.31354391066493,-4.13191443239947,0.144877925813981,3.881,72.9335327120137,6.34782686016016
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2021,1,1356.0,621740.0,53750.0,83196078.0,7.473188820271071,13.340278886289472,3.90999994204108,3.06666666666673,3.594,79.9195348609851,6.9200696637534
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2022,1,911.0,522575.0,54218.0,83177813.0,6.282624911044487,13.166525706789072,1.8092581243061,6.87257438551096,3.137,88.7857542130501,3.85045627175846
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2023,1,1500.0,705812.0,72642.0,83287273.0,8.47442801975279,13.467105608869211,-0.869647578573321,5.94643667725823,3.071,81.9625483787634,5.51222510245724
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2024,1,2166.0,725102.0,62959.0,83516593.0,8.68213098683276,13.494068992711489,-0.495851897260366,2.2564981433876,3.4,79.0907305894936,5.81156126321154
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2010,0,0.0,8.0,0.0,89196072.0,8.969004823441104e-05,2.1972245773362196,5.1472348575531,11.2651882653185,8.757,47.9363500745898,-2.05668307641306
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2011,1,1203.0,9.0,85.0,91093059.0,9.880006335060062e-05,2.302585092994046,1.7645719489982,10.0649259874818,11.849,45.2556341623514,-2.32378812632193
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2012,1,50490.0,12836.0,0.0,93161001.0,0.13778297637656342,9.460086905084927,2.22619979863525,7.11172943343082,12.597,40.7117692721084,-2.49788021735236
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2013,1,72016.0,131659.0,0.0,95333553.0,1.3810352793627654,11.787978121021867,2.18546605362143,9.4697198106492,13.154,40.373038056332,-1.22513249838744
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2014,1,65345.0,138381.0,0.0,97528654.0,1.4188753184269312,11.837773255903988,2.91591187985748,10.0702154687481,13.105,36.9201877934272,-1.94849131455399
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2015,1,50181.0,117635.0,0.0,99597342.0,1.1811058170608608,11.675350390049726,4.37201907790141,10.370490343517,13.052,34.8459429600229,-5.23529137853431
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2016,1,43650.0,116013.0,0.0,101644589.0,1.1413593300082112,11.661466152461264,4.34664345555447,13.8136062148289,12.45,30.2465490514505,-6.16465951871263
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2017,1,24126.0,126688.0,0.0,103696057.0,1.2217243708697623,11.74949054328213,4.18122099994778,29.5066083940038,11.767,42.8321343581608,-3.19681566782461
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2018,1,13072.0,132871.0,0.0,105682094.0,1.2572706971532945,11.797141537778835,5.3311086189448,14.4014657807421,9.855,45.9110196733959,-2.93164483711978
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2019,1,7379.0,129210.0,0.0,107553158.0,1.2013594245182462,11.769202006025377,5.55209307156956,9.15279959324803,7.851,41.1240171551108,-3.20758543154937
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2020,1,4589.0,130577.0,0.0,109315124.0,1.1945007719151468,11.779726028342122,3.55016483786838,5.04493288977538,7.974,32.1262555667523,-3.70903990583373
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2021,1,1356.0,136727.0,0.0,110957008.0,1.2322520448640792,11.825748829828342,3.29064601202211,5.21404940513042,7.441,29.8569734808122,-4.38240299812
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2022,1,911.0,145658.0,0.0,112618250.0,1.2933782934826283,11.88902355244558,6.58784560886967,13.8956609775177,6.546,36.9831048772713,-2.2100904275198
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2023,1,1500.0,153756.0,0.0,114535772.0,1.342427761346036,11.94312871308766,3.76028052279247,33.8847763115546,6.753,40.4504007720031,-3.17338760075615
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2024,1,2166.0,147797.0,0.0,116538258.0,1.2682272975111744,11.903601755604953,2.3991692678251,28.2705899322082,6.817,39.6007520873733,-5.68596233493642
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2010,0,0.0,254.0,968.0,31045366.0,0.008181575311432952,5.541263545158426,6.40256484471193,2.8777472527476,8.267,73.4974796202443,4.68412757383414
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2011,1,1203.0,323.0,1391.0,32161424.0,0.010043087644377936,5.780743515792329,7.546471200426,5.801455370853,8.193,72.1713282233655,14.065166727563
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2012,1,50490.0,63586.0,1185.0,33654842.0,1.8893566637454426,11.060164325919448,13.9364301737537,6.08909641595043,7.965,73.6086845912812,13.5507635163078
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2013,1,72016.0,212809.0,1164.0,35281989.0,6.031661083506375,12.268155027826717,7.62828592298754,1.87949800749469,9.222,67.4100184095672,6.85843921497559
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2014,1,65345.0,234196.0,1225.0,36550059.0,6.407540956363436,12.363917920499237,2.26368817563613,2.23597407904679,10.59,68.9824868569036,6.94151191976759
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2015,1,50181.0,244642.0,0.0,37560535.0,6.513272507966141,12.407555284004639,2.60676642939541,1.39333028780309,10.865,69.5917685983115,-1.65602101285884
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2016,1,43650.0,230836.0,0.0,38469627.0,6.000474088298283,12.349467112725899,13.7873730187089,0.556521397155511,10.82,54.588320188677,1.29416694062961
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2017,1,24126.0,247057.0,0.0,39337353.0,6.280468337562011,12.417378405858491,-1.81975035118309,0.18405889884769,13.02,59.7809123923157,7.95462137277485
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2018,1,13072.0,252526.0,0.0,40265624.0,6.27150345416229,12.439273452673941,2.63385099105624,0.367441488936849,13.458,65.8017917701083,15.1162785714327
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2019,1,7379.0,245810.0,0.0,41192171.0,5.967396086018384,12.412318226943494,5.51379057542323,-0.198965380023928,14.096,68.9899384202806,6.74664580876131
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2020,1,4589.0,242163.0,0.0,42116605.0,5.749822427519977,12.397370461563805,-12.0367930931152,0.574162679425795,15.766,57.742316395146,-3.48598226553261
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2021,1,1356.0,254561.0,0.0,43071211.0,5.910235493494715,12.447299700234653,1.50218070952037,6.04186489058044,16.173,61.5032683117218,11.7148037882244
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2022,1,911.0,257439.0,0.0,44070551.0,5.841519884786555,12.45854196222621,7.95904804992662,4.99476596381044,15.41,68.75879409409,20.1861883343541
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2023,1,1500.0,271997.0,0.0,45074049.0,6.034447892622205,12.513549992309924,0.517705525131191,4.35835351089586,15.239,69.4613207990167,10.5528397110428
Syrian Civil War,Syria,SYR,Iraq,IRQ,neighboring_host,2024,1,2166.0,303611.0,0.0,46042015.0,6.594216174074918,12.623505849414192,-1.54525198318304,-12.2969837587007,15.293,70.7087434748943,2.99186896502489
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2010,0,0.0,198.0,287.0,7297043.0,0.027134278912704778,5.293304824724492,2.31483422063046,4.84551875852116,12.5,114.222677694125,-6.93580742997941
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2011,1,1203.0,193.0,2618.0,7480424.0,0.025800676539190825,5.267858159063328,2.73717988632104,4.1624416292779,12.9,118.699679501801,-10.0122011601875
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2012,1,50490.0,238798.0,491.0,7587127.0,31.474100802583113,12.383377472887126,2.42935800100238,4.5152295667099,12.2,117.855587685189,-14.8926903748186
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2013,1,72016.0,585304.0,0.0,7991809.0,73.2379865434722,13.279888357870536,2.60994737548631,4.82462314269537,12.6,111.451527997628,-10.1695840827968
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2014,1,65345.0,623112.0,0.0,8791710.0,70.87494924195634,13.342483161739487,3.38407809933472,2.89947905006057,11.9,109.938805535022,-7.07786962691051
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2015,1,50181.0,628223.0,0.0,9544729.0,65.8188409539967,13.350652069750419,2.49652879315188,-0.876851359704049,13.075,95.3579122266791,-8.99211424558985
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2016,1,43650.0,648836.0,0.0,10006367.0,64.84231489810438,13.382936808517334,1.9941808493012,-0.778430463054142,15.275,88.7207178954687,-9.65551431813951
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2017,1,24126.0,653031.0,0.0,10234226.0,63.80853813468649,13.389381411652064,2.47359815449045,3.32389447576097,18.12,89.7316005071358,-10.5575150922046
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2018,1,13072.0,676283.0,0.0,10462306.0,64.63995604793054,13.424368385143294,1.91907091341564,4.46231108475481,18.257,87.6359151906857,-6.83122381081
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2019,1,7379.0,654692.0,0.0,10671891.0,61.34732822889589,13.391921702452061,1.75124077866225,0.761514047265601,16.801,85.6878334964204,-1.73661317294453
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2020,1,4589.0,662790.0,0.0,10865228.0,61.00102087135217,13.404214985685563,-1.10275188309046,0.333294350628378,19.213,66.0599488089059,-5.73222808631063
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2021,1,1356.0,672952.0,0.0,11066356.0,60.8106227560364,13.419430769635431,3.65564358999147,1.34609377243118,19.837,80.3328699444404,-8.03006219204828
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2022,1,911.0,660892.0,0.0,11256263.0,58.713269226207665,13.401347229784962,2.64743514912058,4.22915568897117,18.2,104.095459439189,-8.11220847662388
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2023,1,1500.0,649091.0,0.0,11439213.0,56.742627311861405,13.383329742188254,2.88408339281683,2.08486986327134,16.62,100.347868752034,-3.57678301378854
Syrian Civil War,Syria,SYR,Jordan,JOR,neighboring_host,2024,1,2166.0,611473.0,0.0,11552876.0,52.928205928982536,13.323627714808048,2.48889409603647,1.55659611283953,16.693,99.6794477365724,-5.8601178450158
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2010,0,0.0,64.0,141.0,5041288.0,0.012695168377605088,4.174387269895637,7.97513555844932,3.98347941855833,6.768,95.0966529416243,-19.6443379596193
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2011,1,1203.0,124.0,368.0,5096020.0,0.024332714549785913,4.8283137373023015,0.86733987855277,4.97148571692384,7.352,102.139882412503,-13.8340690487529
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2012,1,50490.0,126939.0,242.0,5235742.0,24.24470113309632,11.751469812860462,2.56479133680038,6.58147447683677,7.952,88.5455019230591,-23.4382140171445
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2013,1,72016.0,851284.0,332.0,5743436.0,148.2185924941098,13.654502251606493,3.8278734986016,4.82101956297399,8.477,86.1743285920565,-25.5114319532074
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2014,1,65345.0,1147494.0,418.0,6346990.0,180.79341546150224,13.953091863608869,2.48406010500743,1.8546042134091,8.84,79.8171565925627,-26.2298655609816
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2015,1,50181.0,1062690.0,16.0,6472469.0,164.18618613700582,13.876314928330853,0.462320792597581,-3.74914524799629,9.312,71.8390426347811,-17.1077378092157
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2016,1,43650.0,1005503.0,10.0,6323060.0,159.02158132296705,13.820999466307269,1.55454940856943,-0.783359624361508,9.794,67.7236177908116,-20.4780237123596
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2017,1,24126.0,992127.0,10.0,6160128.0,161.0562312990899,13.807607410201129,0.903028464073813,4.32135218303191,10.258,68.4554292593276,-22.8822040339123
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2018,1,13072.0,944181.0,5.0,5984119.0,157.78112032865656,13.75807422315493,-1.88470575631651,6.07698907889607,10.755,68.2573073043718,-24.3470417876755
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2019,1,7379.0,910586.0,0.0,5794594.0,157.1440553039609,13.721844725479572,-6.91492472851026,3.00538949390383,11.301,62.98091601016,-21.828092491848
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2020,1,4589.0,865300.0,0.0,5702398.0,151.74317892227094,13.670832702262716,-21.3998996914321,84.8643330472041,13.252,50.1298042879627,-8.76184199911137
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2021,1,1356.0,840929.0,0.0,5718122.0,147.0638436885397,13.642263701245977,-7.00123862514116,154.756096023393,12.715,78.8286204025241,-19.6978128626341
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2022,1,911.0,814715.0,0.0,5744489.0,141.8254957055362,13.610594865236857,-0.621678970663112,171.205491336641,11.105,114.888278265666,-34.606227109401
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2023,1,1500.0,784884.0,0.0,5773493.0,135.94612481560122,13.573292489217552,-0.760584470257314,221.341644023365,10.985,104.206410069182,-28.103669636709
Syrian Civil War,Syria,SYR,Lebanon,LBN,neighboring_host,2024,1,2166.0,755426.0,0.0,5805962.0,130.11211578718564,13.53503843127464,,45.2430422716718,,,
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2010,0,0.0,1186.0,133.0,16615394.0,0.0713795893133801,7.079184394609668,1.31932032302214,1.27530569556679,4.991,130.081707935343,6.40659475745775
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2011,1,1203.0,1064.0,231.0,16693074.0,0.0637390093640033,6.970730078143525,1.77334516269423,2.34107017751373,4.977,141.757099325776,7.01569973680718
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2012,1,50490.0,1449.0,231.0,16754962.0,0.08648184340853772,7.27931883541462,-0.977876877747732,2.45554765291614,5.821,149.393223058131,7.50199225228894
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2013,1,72016.0,3404.0,0.0,16804432.0,0.20256560888222822,8.133000218583613,-0.0302325600539604,2.50689852657875,7.241,150.651850226949,7.90135338752684
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2014,1,65345.0,8692.0,2323.0,16865008.0,0.5153866514620093,9.070273383079064,1.61261001294011,0.976035079699679,7.419,151.715891056501,8.54625757819212
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2015,1,50181.0,16184.0,12718.0,16939923.0,0.9553762434457347,9.691840166360345,2.12060523860846,0.600248147278776,6.872,160.325812564809,4.84837059519835
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2016,1,43650.0,28394.0,987.0,17030314.0,1.6672622712652274,10.253968352311533,2.42428572955482,0.316666666666652,6.007,150.96552921165,7.14588669256921
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2017,1,24126.0,30851.0,668.0,17131296.0,1.8008561640637113,10.33695685705389,2.78154619309936,1.38145871407216,4.837,159.646059656847,8.04969631853887
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2018,1,13072.0,32092.0,1687.0,17231624.0,1.8623897550225097,10.376393216801882,2.2587403735731,1.70349794744479,3.832,163.559146573044,8.83776760941587
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2019,1,7379.0,31694.0,3092.0,17344874.0,1.8272833806691244,10.363914218718266,2.30009157916757,2.63369910249591,3.379,160.676671884999,6.79648399842587
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2020,1,4589.0,35810.0,2280.0,17441500.0,2.0531490984147007,10.486010387763148,-3.86795333823223,1.27246037789161,3.82,152.233230409706,5.72296366531146
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2021,1,1356.0,39388.0,6362.0,17533044.0,2.2465009498635835,10.581241868488592,6.2768306708326,2.67572008805385,4.209,163.154842689698,10.2781370842496
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2022,1,911.0,56580.0,11977.0,17700982.0,3.1964328306757217,10.943428518789158,5.00723455159611,10.0012078753473,3.526,184.107484252682,6.82147679536226
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2023,1,1500.0,58378.0,15732.0,17877117.0,3.265515351272803,10.97471151510758,-0.598096167209832,3.83839354342808,3.535,165.030429478933,9.41409249872004
Syrian Civil War,Syria,SYR,Netherlands,NLD,non_neighbor_european_host,2024,1,2166.0,70656.0,15191.0,17993485.0,3.926754600345625,11.165592463176269,1.08100584845663,3.34754304219953,3.7,153.83065216636,9.12996820020418
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2010,0,0.0,1169.0,371.0,9378126.0,0.12465176944732882,7.064759027791802,5.75076477579255,1.15798802715626,8.61,85.0914849272733,5.92506783771235
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2011,1,1203.0,1206.0,485.0,9449213.0,0.12762967667254405,7.095893221097532,3.16388567406926,2.9611507382214,7.804,86.3907448060188,5.51028500175062
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2012,1,50490.0,6051.0,3751.0,9519374.0,0.6356510417596787,8.708144074908246,-0.414397702454409,0.888377506923735,7.976,85.2980605424359,5.53304332576063
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2013,1,72016.0,17984.0,6808.0,9600379.0,1.8732593786141152,9.797293356129725,1.13766671801426,-0.044292970148682,8.052,81.6402521329964,4.70549381033489
